Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	Aply21_def_6	3
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	Aply22_def_6	5
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	Aply23_def_6	1
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	Cr50_def_6	9
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	Cr90_def_6	138
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	Dys1_2_def_6	2
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	Dys2_1_def_6	4
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	Pf12_def_6	1
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	gb10_f_def_6	31
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	gb1_f_def_6	54
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	gb278_def_6	2
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	gb2_f_def_6	40
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	gb305_def_6	6
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	gb3_f_def_6	54
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	gb5_6_f_def_6	21
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	gb9_f_def_6	33
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	sw_7def_6	1
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	sw_8def_6	3
Archaea;(Archaea);(Archaea);(Archaea);(Archaea);(Archaea)	sw_9def_6	1
Archaea;Aenigmarchaeota;(Aenigmarchaeota);(Aenigmarchaeota);(Aenigmarchaeota);(Aenigmarchaeota)	Cr90_def_6	1
Archaea;Aenigmarchaeota;(Aenigmarchaeota);(Aenigmarchaeota);(Aenigmarchaeota);(Aenigmarchaeota)	Pf10_def_6	1
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;(Aenigmarchaeales);(Aenigmarchaeales)	Cr90_def_6	5
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;(Aenigmarchaeales);(Aenigmarchaeales)	Dys1_2_def_6	1
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Candidatus Aenigmarchaeum;uncultured archaeon	Aply22_def_6	1
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Candidatus Aenigmarchaeum;uncultured archaeon	Cr90_def_6	1
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Candidatus Aenigmarchaeum;uncultured euryarchaeote	Cr90_def_6	1
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;uncultured archaeon;(uncultured archaeon)	Cr90_def_6	19
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;uncultured archaeon;(uncultured archaeon)	Dys1_1_def_6	3
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;uncultured archaeon;(uncultured archaeon)	Dys1_2_def_6	2
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;uncultured euryarchaeote;(uncultured euryarchaeote)	Cr90_def_6	3
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);(Deep Sea Euryarchaeotic Group(DSEG));(Deep Sea Euryarchaeotic Group(DSEG));(Deep Sea Euryarchaeotic Group(DSEG))	Cr90_def_6	2
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);(Deep Sea Euryarchaeotic Group(DSEG));(Deep Sea Euryarchaeotic Group(DSEG));(Deep Sea Euryarchaeotic Group(DSEG))	Pf10_def_6	6
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);(Deep Sea Euryarchaeotic Group(DSEG));(Deep Sea Euryarchaeotic Group(DSEG));(Deep Sea Euryarchaeotic Group(DSEG))	sw_8def_6	1
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);uncultured Methanobacteriaceae archaeon;(uncultured Methanobacteriaceae archaeon);(uncultured Methanobacteriaceae archaeon)	Cr90_def_6	2
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);uncultured archaeon;(uncultured archaeon);(uncultured archaeon)	Aply22_def_6	3
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);uncultured archaeon;(uncultured archaeon);(uncultured archaeon)	Aply23_def_6	1
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);uncultured archaeon;(uncultured archaeon);(uncultured archaeon)	Cr90_def_6	23
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);uncultured archaeon;(uncultured archaeon);(uncultured archaeon)	Dys1_2_def_6	7
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);uncultured archaeon;(uncultured archaeon);(uncultured archaeon)	Dys2_1_def_6	1
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);uncultured archaeon;(uncultured archaeon);(uncultured archaeon)	Pf10_def_6	13
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);uncultured archaeon;(uncultured archaeon);(uncultured archaeon)	sw_7def_6	1
